key,kind,description,units,weight,cross_wires
CH41515M_MQ,MAQ       ,MAQUILA CASTILLO EN HOJA  15*15*4       ,KG     ,1,38
CH415202,CAT       ,ARMEX EN HOJA 15*20*4 C 2               ,TR     ,9.8,30
CH415203,CAT       ,ARMEX EN HOJA 15*20*4  C 3              ,TR     ,12,30
CH41520AA,CAT       ,ARMEX EN HOJA 15*20*4                   ,TR     ,6.4,38
CH41520M_MQ,MAQ       ,MAQUILA CASTILLO EN HOJA  15*20*4       ,KG     ,1,38
CH415252,CAT       ,ARMEX EN HOJA 15*25*4 C 2               ,TR     ,10.322,
CH415253,CAT       ,ARMEX EN HOJA 15*25*4 C 3               ,TR     ,11.426,
CH41525AA,CAT       ,ARMEX EN HOJA 15*25*4                   ,TR     ,6.7,38
CH41525M_MQ,MAQ       ,MAQUILA CASTILLO EN HOJA  15*25*4       ,KG     ,1,
CH41530AA,CAT       ,ARMEX EN HOJA 15*30*4                   ,TR     ,7.1,38
CH41530M_MQ,MAQ       ,MAQUILA CASTILLO EN HOJA  15*30*4       ,KG     ,1,
CH42035,CAT       ,ARMEX EN HOJA 20*35*4                   ,TR     ,7.863,
CH42040,CAT       ,ARMEX EN HOJA 20*40*4                   ,TR     ,8.9,
ESC12210HJ,CAT       ,ESCALERILLA 12-2 C-10 a 3 mts hoja      ,HOJ    ,4.392,12
M310100463239811,MIN       ,M. ING 3X10 10.04/6.35 2.29 M/8.11 MT   ,HOJ    ,180.5,107
M310684429239480,MIN       ,M. ING 3X10 6.84MM/4.29MM 2.39 X 4.80 MT,HOJ    ,49.72,64
M31078495239430,MIN       ,M. ING 3X10 7.8MM/4.95MM 2.39 X 4.30 MTS,HOJ    ,57.63,57
M310845534239705,MIN       ,M ING 3 X 10 8.45/5.34 MM X 2.39X7.05 M ,HOJ    ,110.84,27
M310976619239621,MIN       ,M ING 3 X 10 9.76/6.19 MM 239 X 6.21 M  ,HOJ    ,130.54,24
M38607449238220,MIN       ,M.ING7.62X20.32 6.07/4.49MM 2.38x2.20M  ,HOJ    ,19.2,30
M388765542391005,MIN       ,M ING 3X8 8.76 X5.54 MM/2.39 X 10.05 M  ,HOJ    ,167.89,49
MC100250_MQ,MAQ       ,MAQUILA MALLA CERCASEL 1.00 X 2.50 MTS  ,HOJ    ,9.84,
MC135615_MQ,MAQ       ,MAQUILA MALLA CERCASEL1.35X6.15M C-6    ,HOJ    ,36.085,
MC1375632_MQ,MAQ       ,MAQUILA MALLA CERCASEL 1.375 X 6.32 MTS ,HOJ    ,31.51,
MC141520_MQ,MAQ       ,MAQUILA MALLA CERCASEL 1.41 X 5.20 M C-6,HOJ    ,31.63,
MC150250_MQ,MAQ       ,MAQUILA MALLA CERCASEL 1.50 X 2.50 MTS  ,HOJ    ,15.198,
MC158520_MQ,MAQ       ,MAQUILA MALLA CERCASEL 1.58 X 5.20 M C-6,HOJ    ,30.498,
MC1585516_MQ,MAQ       ,MAQUILA MALLA CERCASEL 1.585 X 5.161 MTS,HOJ    ,31.95,92
MC186735_MQ,MAQ       ,MAQUILA MALLA CERCASEL 1.864X7.35 M C-6 ,HOJ    ,57.55,
MC1873048,ARM       ,ARMAFENCE 1.87 X 3.048 M (6X10ft)       ,PZA    ,13.3,
